Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV,Pfr_ID
1,Russell Wilson,2012,2015,3-75,SEA,NFL,64,64,4,3,0,70,WilsRu00
2,J.J. Watt,2011,2014,1-11,HTX,NFL,64,64,4,3,3,67,WattJ.00
3,Cam Newton,2011,2014,1-1,CAR,NFL,62,62,4,2,0,63,NewtCa00
4,Patrick Willis,2007,2010,1-11,SFO,NFL,63,63,4,4,3,63,WillPa98
5,LaDainian Tomlinson*,2001,2004,1-5,SDG,NFL,63,63,4,2,1,62,TomlLa00
6,Aaron Donald,2014,2017,1-13,RAM,NFL,62,58,4,4,3,61,DonaAa00
7,Richard Sherman,2011,2014,5-154,SEA,NFL,64,58,4,2,3,58,SherRi00
8,Luke Kuechly,2012,2015,1-9,CAR,NFL,61,61,4,3,3,57,KuecLu00
9,Patrick Peterson,2011,2014,1-5,CRD,NFL,64,64,4,4,2,57,PetePa00
10,Matt Ryan,2008,2011,1-3,ATL,NFL,62,62,4,1,0,55,RyanMa00
11,Carson Palmer,2004,2007,1-1,CIN,NFL,61,61,4,2,0,54,PalmCa00
12,Brian Urlacher*,2000,2003,1-9,CHI,NFL,64,62,4,4,2,54,UrlaBr00
13,Jeff Garcia,2000,2002,,SFO,NFL,48,48,3,3,0,53,GarcJe00
14,Darrelle Revis,2007,2010,1-14,NYJ,NFL,61,61,4,3,2,53,ReviDa99
15,Ray Rice,2008,2011,2-55,RAV,NFL,61,49,4,2,0,53,RiceRa00
16,NaVorro Bowman,2010,2013,3-91,SFO,NFL,64,49,4,2,3,52,BowmNa99
17,Chris Johnson,2008,2011,1-24,OTI,NFL,63,62,4,3,1,52,JohnCh04
18,Carl Nicks,2008,2011,5-164,NOR,NFL,64,61,4,2,1,52,NickCa20
19,Lance Briggs,2003,2006,3-68,CHI,NFL,64,61,4,2,1,51,BrigLa99
20,Aaron Brooks,2000,2003,4-131,NOR,NFL,56,53,4,0,0,51,BrooAa00
21,Clay Matthews,2009,2012,1-26,GNB,NFL,58,55,4,4,1,51,MattCl99
22,Clinton Portis,2002,2005,2-51,TOT,NFL,60,56,4,1,0,51,PortCl00
23,C.J. Mosley,2014,2017,1-17,RAV,NFL,62,62,4,3,0,50,MoslC.00
24,Adrian Peterson,2007,2010,1-7,MIN,NFL,61,54,4,4,2,50,PeteAd01
25,Jon Beason,2007,2010,1-25,CAR,NFL,64,64,4,3,1,49,BeasJo99
26,Maurice Jones-Drew,2006,2009,2-60,JAX,NFL,63,20,4,1,0,49,DrewMa00
27,Bobby Wagner,2012,2015,2-47,SEA,NFL,56,55,4,2,1,49,WagnBo00
28,Daunte Culpepper,2000,2002,1-11,MIN,NFL,43,43,3,1,0,48,CulpDa00
29,Andy Dalton,2011,2014,2-35,CIN,NFL,64,64,4,2,0,48,DaltAn00
30,Joe Flacco,2008,2011,1-18,RAV,NFL,64,64,4,0,0,48,FlacJo00
31,Jamal Lewis,2000,2004,1-5,RAV,NFL,60,56,4,1,1,48,LewiJa00
32,Andrew Luck,2012,2015,1-1,CLT,NFL,55,55,4,3,0,48,LuckAn00
33,Khalil Mack,2014,2017,1-5,RAI,NFL,64,64,4,3,2,48,MackKh00
34,Zack Martin,2014,2017,1-16,DAL,NFL,64,64,4,4,2,48,MartZa00
35,Ndamukong Suh,2010,2013,1-2,DET,NFL,62,62,4,3,2,48,SuhxNd99
36,DeMarcus Ware,2005,2008,1-11,DAL,NFL,64,64,4,3,2,48,WareDe99
37,Ben Roethlisberger,2004,2007,1-11,PIT,NFL,56,55,4,1,0,47,RoetBe00
38,Joseph Addai,2006,2009,1-30,CLT,NFL,58,42,4,1,0,46,AddaJo00
39,Jahri Evans,2006,2009,4-108,NOR,NFL,64,64,4,1,1,46,EvanJa21
40,Arian Foster,2009,2012,,HTX,NFL,51,43,4,3,1,46,FostAr00
41,Logan Mankins,2005,2008,1-32,NWE,NFL,64,64,4,1,0,46,MankLo20
42,Von Miller,2011,2014,1-2,DEN,NFL,56,56,4,3,1,46,MillVo00
43,Richard Seymour,2001,2004,1-6,NWE,NFL,59,55,4,3,2,46,SeymRi00
44,Earl Thomas,2010,2013,1-14,SEA,NFL,64,64,4,3,2,46,ThomEa99
45,Le'Veon Bell,2013,2016,2-48,PIT,NFL,47,47,4,2,1,45,BellLe00
46,A.J. Green,2011,2014,1-4,CIN,NFL,60,60,4,4,0,45,GreeA.00
47,Jake Long,2008,2011,1-1,MIA,NFL,62,62,4,4,1,45,LongJa20
48,DeMarco Murray,2011,2014,3-71,DAL,NFL,53,47,4,2,1,45,MurrDe00
49,Ryan Tannehill,2012,2015,1-8,MIA,NFL,64,64,4,0,0,45,TannRy00
50,Cameron Wake,2009,2012,,MIA,NFL,62,47,4,2,1,45,WakeCa00
51,Antonio Gates,2003,2006,,SDG,NFL,61,57,4,3,3,44,GateAn00
52,Torry Holt,2000,2002,1-6,RAM,NFL,48,40,3,2,0,44,HoltTo00
53,Tyron Smith,2011,2014,1-9,DAL,NFL,63,63,4,2,1,44,SmitTy00
54,Lofa Tatupu,2005,2008,2-45,SEA,NFL,63,63,4,3,1,44,TatuLo99
55,David Bakhtiari,2013,2016,4-109,GNB,NFL,62,62,4,1,0,43,BakhDa00
56,Matt Forte,2008,2011,2-44,CHI,NFL,60,60,4,1,0,43,FortMa00
57,David Harris,2007,2010,2-47,NYJ,NFL,59,52,4,0,0,43,HarrDa99
58,Tommie Harris,2004,2007,1-14,CHI,NFL,60,56,4,3,0,43,HarrTo99
59,Rashean Mathis,2003,2006,2-39,JAX,NFL,64,64,4,1,1,43,MathRa99
60,Deuce McAllister,2001,2004,1-23,NOR,NFL,61,49,4,2,0,43,McAlDe00
61,Haloti Ngata,2006,2009,1-12,RAV,NFL,62,61,4,1,0,43,NgatHa20
62,Julius Peppers,2002,2005,1-2,CAR,NFL,60,60,4,2,1,43,PeppJu99
63,Ricky Williams,2000,2002,1-5,TOT,NFL,42,42,3,1,1,43,WillRi00
64,LaVar Arrington,2000,2003,1-2,WAS,NFL,62,57,4,3,0,42,ArriLa00
65,Blake Bortles,2014,2017,1-3,JAX,NFL,62,61,4,0,0,42,BortBl00
66,Jammal Brown,2005,2008,1-13,NOR,NFL,58,58,4,2,1,42,BrowJa55
67,Dwight Freeney,2002,2005,1-11,CLT,NFL,63,50,4,3,2,42,FreeDw00
68,DeSean Jackson,2008,2011,2-49,PHI,NFL,60,59,4,2,0,42,JackDe00
69,Larry Johnson,2003,2006,1-27,KAN,NFL,48,28,4,2,1,42,JohnLa00
70,Julio Jones,2011,2014,1-6,ATL,NFL,49,48,4,2,0,42,JoneJu02
71,Julian Peterson,2000,2003,1-16,SFO,NFL,59,53,4,2,1,42,PeteJu00
72,Muhammad Wilkerson,2011,2014,1-30,NYJ,NFL,61,60,4,0,0,42,WilkMu00
73,Kevin Williams,2003,2006,1-9,MIN,NFL,62,62,4,2,2,42,WillKe98
74,Ryan Clady,2008,2011,1-12,DEN,NFL,64,64,4,2,1,41,CladRy20
75,Travis Frederick,2013,2016,1-31,DAL,NFL,64,64,4,3,1,41,FredTr00
76,Percy Harvin,2009,2012,1-22,MIN,NFL,54,43,4,1,0,41,HarvPe00
77,Justin Houston,2011,2014,3-70,KAN,NFL,59,53,4,3,1,41,HousJu00
78,Steven Jackson,2004,2007,1-24,RAM,NFL,57,46,4,1,0,41,JackSt00
79,Kris Jenkins,2001,2004,2-44,CAR,NFL,52,47,4,2,2,41,JenkKr00
80,Donovan McNabb,2000,2002,1-2,PHI,NFL,42,42,3,3,0,41,McNaDo00
81,Marcus McNeill,2006,2009,2-50,SDG,NFL,62,62,4,2,0,41,McNeMa20
82,Joe Thomas,2007,2010,1-3,CLE,NFL,64,64,4,4,2,41,ThomJo28
83,Roy Williams,2002,2005,1-8,DAL,NFL,64,64,4,3,1,41,WillRo03
84,Shaun Alexander,2000,2003,1-19,SEA,NFL,64,44,4,1,0,40,AlexSh00
85,Jared Allen,2004,2007,4-126,KAN,NFL,61,55,4,1,1,40,AlleJa22
86,Derek Carr,2014,2017,2-36,RAI,NFL,62,62,4,3,0,40,CarrDe02
87,Jay Cutler,2006,2009,1-11,TOT,NFL,53,53,4,1,0,40,CutlJa00
88,Marcell Dareus,2011,2014,1-3,BUF,NFL,63,60,4,2,1,40,DareMa00
89,Michael Vick,2001,2004,1-1,ATL,NFL,43,36,4,2,0,40,VickMi00
90,Geno Atkins,2010,2013,4-120,CIN,NFL,57,41,4,2,1,39,AtkiGe99
91,Marques Colston,2006,2009,7-252,NOR,NFL,57,46,4,0,0,39,ColsMa00
92,Devonta Freeman,2014,2017,4-103,ATL,NFL,61,43,4,2,0,39,FreeDe00
93,Frank Gore,2005,2008,3-65,SFO,NFL,59,46,4,1,0,39,GoreFr00
94,LeSean McCoy,2009,2012,2-53,PHI,NFL,58,44,4,1,1,39,McCoLe01
95,Willie Parker,2004,2007,,PIT,NFL,54,46,4,2,0,39,ParkWi00
96,Ed Reed,2002,2005,1-24,RAV,NFL,58,57,4,2,1,39,ReedEd00
97,Terrell Suggs,2003,2006,1-10,RAV,NFL,64,48,4,2,0,39,SuggTe99
98,Duane Brown,2008,2011,1-26,HTX,NFL,60,60,4,0,0,38,BrowDu20
99,Dez Bryant,2010,2013,1-24,DAL,NFL,59,45,4,1,0,38,BryaDe01
100,Marc Bulger,2002,2005,6-168,RAM,NFL,44,44,4,1,0,38,BulgMa00
101,Randall Cobb,2011,2014,2-64,GNB,NFL,52,28,4,1,0,38,CobbRa00
102,Brandin Cooks,2014,2017,1-20,TOT,NFL,58,47,4,0,0,38,CookBr00
103,Fletcher Cox,2012,2015,1-12,PHI,NFL,63,57,4,1,0,38,CoxxFl00
104,Lavonte David,2012,2015,2-58,TAM,NFL,62,62,4,1,1,38,DaviLa00
105,John Henderson,2002,2005,1-9,JAX,NFL,64,60,4,1,0,38,HendJo99
106,T.Y. Hilton,2012,2015,3-92,CLT,NFL,62,41,4,2,0,38,HiltT.00
107,Mike Iupati,2010,2013,1-17,SFO,NFL,60,60,4,2,1,38,IupaMi20
108,Sheldon Richardson,2013,2016,1-13,NYJ,NFL,58,56,4,1,0,38,RichSh00
109,Daryl Washington,2010,2013,2-47,CRD,NFL,59,53,4,1,0,38,WashDa99
110,LaMarr Woodley,2007,2010,2-46,PIT,NFL,60,47,4,1,0,38,WoodLa99
111,Anthony Barr,2014,2017,1-9,MIN,NFL,58,58,4,3,0,37,BarrAn00
112,Mike Brown,2000,2003,2-39,CHI,NFL,64,63,4,0,1,37,BrowMi99
113,Keith Bulluck,2000,2003,1-30,OTI,NFL,63,36,4,1,1,37,BullKe00
114,Laveranues Coles,2000,2003,3-78,TOT,NFL,61,51,4,1,0,37,ColeLa00
115,Josh Freeman,2009,2012,1-17,TAM,NFL,57,56,4,0,0,37,FreeJo00
116,Ben Hamilton,2002,2005,4-113,DEN,NFL,64,64,4,0,0,37,HamiBe20
117,Santonio Holmes,2006,2009,1-25,PIT,NFL,60,48,4,0,0,37,HolmSa00
118,Edgerrin James,2000,2002,1-4,CLT,NFL,36,36,3,1,0,37,JameEd00
119,Greg Jennings,2006,2009,2-52,GNB,NFL,59,52,4,0,0,37,JennGr00
120,Andre Johnson,2003,2006,1-3,HTX,NFL,61,61,4,2,0,37,JohnAn02
121,Jake Matthews,2014,2017,1-6,ATL,NFL,63,63,4,0,0,37,MattJa00
122,Dontari Poe,2012,2015,1-11,KAN,NFL,62,60,4,2,0,37,PoexDo00
123,Troy Polamalu,2003,2006,1-16,PIT,NFL,61,45,4,3,1,37,PolaTr99
124,Robert Quinn,2011,2014,1-14,RAM,NFL,63,47,4,2,1,37,QuinRo00
125,Jake Scott,2004,2007,5-141,CLT,NFL,60,57,4,0,0,37,ScotJa21
126,Corey Simon,2000,2003,1-6,PHI,NFL,62,62,4,1,0,37,SimoCo00
127,Telvin Smith,2014,2017,5-144,JAX,NFL,60,53,4,1,0,37,SmitTe01
128,Nate Solder,2011,2014,1-17,NWE,NFL,63,60,4,0,0,37,SoldNa00
129,Sebastian Vollmer,2009,2012,2-58,NWE,NFL,51,44,4,0,0,37,VollSe20
130,Champ Bailey,2000,2002,1-7,WAS,NFL,48,48,3,3,0,36,BailCh00
131,Odell Beckham,2014,2017,1-12,NYG,NFL,47,44,4,3,0,36,BeckOd00
132,Anquan Boldin,2003,2006,2-54,CRD,NFL,56,55,4,2,0,36,BoldAn00
133,Tom Brady,2000,2003,6-199,NWE,NFL,48,46,4,1,0,36,BradTo00
134,Reggie Bush,2006,2009,1-2,NOR,NFL,52,35,4,0,0,36,BushRe00
135,Trent Cole,2005,2008,5-146,PHI,NFL,63,53,4,1,0,36,ColeTr20
136,Larry Fitzgerald,2004,2007,1-3,CRD,NFL,60,60,4,2,0,36,FitzLa00
137,Robert Griffin,2012,2016,1-2,TOT,NFL,42,40,4,1,0,36,GrifRo01
138,Steve Hutchinson,2001,2004,1-17,SEA,NFL,52,52,4,2,1,36,HutcSt00
139,Darrell Jackson,2000,2003,3-80,SEA,NFL,61,54,4,0,0,36,JackDa00
140,Chad Johnson,2001,2004,2-36,CIN,NFL,60,47,4,2,0,36,JohnCh01
141,Levi Jones,2002,2005,1-10,CIN,NFL,63,61,4,0,0,36,JoneLe23
142,Colin Kaepernick,2011,2014,2-36,SFO,NFL,48,39,4,0,0,36,KaepCo00
143,Eddie Lacy,2013,2016,2-61,GNB,NFL,51,48,4,1,0,36,LacyEd00
144,Nick Mangold,2006,2009,1-29,NYJ,NFL,64,64,4,2,1,36,MangNi20
145,Ryan Mathews,2010,2013,1-12,SDG,NFL,54,46,4,1,0,36,MathRy00
146,Jerod Mayo,2008,2011,1-10,NWE,NFL,59,57,4,1,1,36,MayoJe99
147,Willis McGahee,2004,2007,1-23,TOT,NFL,61,55,4,1,0,36,McGaWi00
148,Joey Porter,2000,2002,3-73,PIT,NFL,47,47,3,1,1,36,PortJo00
149,Maurkice Pouncey,2010,2013,1-18,PIT,NFL,46,46,4,3,1,36,PounMa20
150,Mario Williams,2006,2009,1-1,HTX,NFL,64,64,4,2,0,36,WillMa22
151,Shawn Andrews,2004,2007,1-16,PHI,NFL,48,48,4,2,1,35,AndrSh55
152,Jason Campbell,2006,2009,1-25,WAS,NFL,52,52,4,0,0,35,CampJa00
153,David Carr,2002,2005,1-1,HTX,NFL,60,59,4,0,0,35,CarrDa00
154,Daryn Colledge,2006,2009,2-47,GNB,NFL,64,60,4,0,0,35,CollDa20
155,Jamie Collins,2013,2016,2-52,TOT,NFL,58,49,4,1,0,35,CollJa00
156,Lee Evans,2004,2007,1-13,BUF,NFL,64,57,4,0,0,35,EvanLe00
157,Mike Evans,2014,2017,1-7,TAM,NFL,61,60,4,1,0,35,EvanMi00
158,Jimmy Graham,2010,2013,3-95,NOR,NFL,62,37,4,2,1,35,GrahJi00
159,Chad Greenway,2007,2010,1-17,MIN,NFL,64,63,4,0,0,35,GreeCh99
160,Nick Hardwick,2004,2007,3-66,SDG,NFL,55,55,4,1,0,35,HardNi55
161,James Laurinaitis,2009,2012,2-35,RAM,NFL,64,64,4,0,0,35,LaurJa99
162,Kyle Long,2013,2016,1-20,CHI,NFL,55,55,4,3,0,35,LongKy00
163,Brandon Marshall,2006,2009,4-119,DEN,NFL,61,45,4,2,0,35,MarsBr00
164,Jeremiah Trotter,2000,2001,3-72,PHI,NFL,32,32,2,2,1,35,TrotJe00
165,Mike Wallace,2009,2012,3-84,PIT,NFL,63,48,4,1,0,35,WallMi00
166,Kurt Warner*,2000,2001,,RAM,NFL,27,27,2,2,1,35,WarnKu00
167,Reggie Wayne,2001,2004,1-30,CLT,NFL,61,48,4,0,0,35,WaynRe00
168,Jameis Winston,2015,2017,1-1,TAM,NFL,45,45,3,1,0,35,WinsJa00
169,Khalif Barnes,2005,2008,2-52,JAX,NFL,60,57,4,0,0,34,BarnKh20
170,Zane Beadles,2010,2013,2-45,DEN,NFL,64,62,4,1,0,34,BeadZa20
171,Drew Brees,2001,2004,2-32,SDG,NFL,43,42,4,1,0,34,BreeDr00
172,Vontaze Burfict,2012,2015,,CIN,NFL,47,45,4,1,0,34,BurfVo00
173,Ryan Diem,2001,2004,4-118,CLT,NFL,60,53,4,0,0,34,DiemRy20
174,Rob Gronkowski,2010,2013,2-42,NWE,NFL,50,44,4,2,1,34,GronRo00
175,Leon Hall,2007,2010,1-18,CIN,NFL,64,58,4,0,0,34,HallLe98
176,Devin Hester,2006,2009,2-57,CHI,NFL,60,20,4,2,2,34,HestDe99
177,Cameron Jordan,2011,2014,1-24,NOR,NFL,64,63,4,1,0,34,JordCa00
178,Matt Kalil,2012,2015,1-4,MIN,NFL,64,64,4,1,0,34,KaliMa00
179,Dan Koppen,2003,2006,5-164,NWE,NFL,57,56,4,0,0,34,KoppDa20
180,Matt Light,2001,2004,2-48,NWE,NFL,62,60,4,0,0,34,LighMa20
181,Eli Manning,2004,2007,1-1,NYG,NFL,57,55,4,0,0,34,MannEl00
182,Marcus Mariota,2015,2017,1-2,OTI,NFL,42,42,3,0,0,34,MariMa01
183,Terrence McGee,2003,2006,4-111,BUF,NFL,60,43,4,1,0,34,McGeTe99
184,Hakeem Nicks,2009,2012,1-29,NYG,NFL,55,44,4,0,0,34,NickHa01
185,Shane Olivea,2004,2007,7-209,SDG,NFL,60,57,4,0,0,34,OlivSh20
186,DeMeco Ryans,2006,2009,2-33,HTX,NFL,64,64,4,2,0,34,RyanDe20
187,Daryl Smith,2004,2007,2-39,JAX,NFL,62,60,4,0,0,34,SmitDa24
188,Matthew Stafford,2009,2012,1-1,DET,NFL,45,45,4,0,0,34,StafMa00
189,Marcus Stroud,2001,2004,1-13,JAX,NFL,64,48,4,2,0,34,StroMa01
190,Todd Wade,2000,2003,2-53,MIA,NFL,63,63,4,0,0,34,WadeTo20
191,Brian Westbrook,2002,2005,3-91,PHI,NFL,55,35,4,1,0,34,WestBr00
192,Roddy White,2005,2008,1-27,ATL,NFL,64,43,4,1,0,34,WhitRo00
193,DeAngelo Williams,2006,2009,1-27,CAR,NFL,58,31,4,1,0,34,WillDe02
194,Domanick Williams,2003,2005,4-101,HTX,NFL,40,36,3,0,0,34,DaviDo01
195,Alex Brown,2002,2005,4-104,CHI,NFL,63,57,4,0,0,33,BrowAl20
196,Jurrell Casey,2011,2014,3-77,OTI,NFL,63,61,4,0,0,33,CaseJu00
197,Chris Chambers,2001,2004,2-52,MIA,NFL,62,53,4,0,0,33,ChamCh00
198,Nate Clements,2001,2004,1-21,BUF,NFL,64,59,4,1,0,33,ClemNa99
199,Na'il Diggs,2000,2003,4-98,GNB,NFL,61,60,4,0,0,33,DiggNa20
200,Darnell Dockett,2004,2007,3-64,CRD,NFL,64,63,4,1,0,33,DockDa20
201,Orlando Franklin,2011,2014,2-46,DEN,NFL,63,63,4,0,0,33,FranOr00
202,DeAndre Hopkins,2013,2016,1-27,HTX,NFL,64,64,4,1,0,33,HopkDe00
203,Alshon Jeffery,2012,2015,2-45,CHI,NFL,51,44,4,1,0,33,JeffAl00
204,Calvin Johnson,2007,2010,1-2,DET,NFL,60,55,4,1,0,33,JohnCa00
205,Chandler Jones,2012,2015,1-21,NWE,NFL,55,52,4,1,0,33,JoneCh03
206,Jarvis Landry,2014,2017,2-63,MIA,NFL,64,57,4,3,0,33,LandJa00
207,Phil Loadholt,2009,2012,2-54,MIN,NFL,63,63,4,0,0,33,LoadPh20
208,Peyton Manning,2000,2001,1-1,CLT,NFL,32,32,2,1,0,33,MannPe00
209,Vince Manuwai,2003,2006,3-72,JAX,NFL,63,62,4,0,0,33,ManuVi20
210,Alec Ogletree,2013,2016,1-30,RAM,NFL,52,52,4,0,0,33,OgleAl00
211,Mike Patterson,2005,2008,1-31,PHI,NFL,64,54,4,0,0,33,PattMi20
212,Josh Sitton,2008,2011,4-135,GNB,NFL,57,48,4,0,0,33,SittJo20
213,Sean Taylor,2004,2007,1-5,WAS,NFL,55,53,4,2,0,33,TaylSe20
214,Demaryius Thomas,2010,2013,1-22,DEN,NFL,53,39,4,2,0,33,ThomDe03
215,D.J. Williams,2004,2007,1-17,DEN,NFL,64,59,4,0,0,33,WillD.20
216,Trent Williams,2010,2013,1-4,WAS,NFL,56,55,4,2,0,33,WillTr21
217,K.J. Wright,2011,2014,4-99,SEA,NFL,60,56,4,0,0,33,WrigK.00
218,Ezekiel Ansah,2013,2016,1-5,DET,NFL,59,57,4,1,0,32,AnsaEz00
219,Nick Barnett,2003,2006,1-29,GNB,NFL,62,62,4,0,0,32,BarnNi20
220,LeCharles Bentley,2002,2005,2-44,NOR,NFL,57,57,4,2,0,32,BentLe00
221,Justin Blalock,2007,2010,2-39,ATL,NFL,62,62,4,0,0,32,BlalJu20
222,Justin Britt,2014,2017,2-64,SEA,NFL,63,63,4,0,0,32,BritJu00
223,Antonio Brown,2010,2013,6-195,PIT,NFL,54,27,4,2,0,32,BrowAn04
224,Plaxico Burress,2000,2003,1-8,PIT,NFL,60,56,4,0,0,32,BurrPl00
225,Brian Cushing,2009,2012,1-15,HTX,NFL,49,49,4,1,0,32,CushBr99
226,Cortland Finnegan,2006,2009,7-215,OTI,NFL,61,47,4,1,1,32,FinnCo20
227,Hank Fraley,2001,2004,,PHI,NFL,64,63,4,0,0,32,FralHa20
228,Deon Grant,2001,2004,2-57,TOT,NFL,64,64,4,0,0,32,GranDe21
229,DeAngelo Hall,2004,2007,1-8,ATL,NFL,57,55,4,2,0,32,HallDe99
230,Nick Kaczur,2005,2008,3-100,NWE,NFL,54,49,4,0,0,32,KaczNi20
231,Byron Leftwich,2003,2006,1-7,JAX,NFL,46,44,4,0,0,32,LeftBy00
232,Ashley Lelie,2002,2005,1-19,DEN,NFL,64,40,4,0,0,32,LeliAs00
233,Curtis Lofton,2008,2011,2-37,ATL,NFL,64,63,4,0,0,32,LoftCu99
234,Devin McCourty,2010,2013,1-27,NWE,NFL,61,61,4,1,0,32,McCoDe99
235,Bryant McKinnie,2002,2005,1-7,MIN,NFL,56,55,4,0,0,32,McKiBr21
236,Shawne Merriman,2005,2008,1-12,SDG,NFL,43,38,4,3,1,32,MerrSh99
237,Jeremy Newberry,2000,2002,2-58,SFO,NFL,47,47,3,2,0,32,NewbJe00
238,Donald Penn,2007,2010,,TAM,NFL,64,60,4,1,0,32,PennDo20
239,Michael Roos,2005,2008,2-41,OTI,NFL,64,64,4,1,1,32,RoosMi20
240,Chris Samuels,2000,2003,1-3,WAS,NFL,60,60,4,2,0,32,SamuCh00
241,Eric Steinbach,2003,2006,2-33,CIN,NFL,63,62,4,0,0,32,SteiEr20
242,Vince Wilfork,2004,2007,1-21,NWE,NFL,61,51,4,1,0,32,WilfVi20
243,Will Witherspoon,2002,2005,3-73,CAR,NFL,62,55,4,0,0,32,WithWi20
244,Marion Barber,2005,2008,4-109,DAL,NFL,60,16,4,1,0,31,BarbMa01
245,Kevan Barlow,2001,2004,3-80,SFO,NFL,60,18,4,0,0,31,BarlKe00
246,Kendrell Bell,2001,2004,2-39,PIT,NFL,47,44,4,1,0,31,BellKe20
247,Giovani Bernard,2013,2016,2-37,CIN,NFL,55,12,4,0,0,31,BernGi00
248,Dwayne Bowe,2007,2010,1-23,KAN,NFL,59,56,4,1,0,31,BoweDw00
249,Preston Brown,2014,2017,3-73,BUF,NFL,64,62,4,0,0,31,BrowPr00
250,Ronnie Brown,2005,2008,1-2,MIA,NFL,51,46,4,1,0,31,BrowRo05
251,Bryan Bulaga,2010,2014,1-23,GNB,NFL,52,48,4,0,0,31,BulaBr20
252,Michael Crabtree,2009,2012,1-10,SFO,NFL,58,56,4,0,0,31,CrabMi00
253,Victor Cruz,2010,2013,,NYG,NFL,49,35,4,1,0,31,CruzVi00
254,Anthony Davis,2010,2013,1-11,SFO,NFL,64,64,4,0,0,31,DaviAn27
255,D'Brickashaw Ferguson,2006,2009,1-4,NYJ,NFL,64,64,4,1,0,31,FergDB20
256,D.J. Fluker,2013,2016,1-11,SDG,NFL,59,59,4,0,0,31,FlukDJ00
257,Michael Griffin,2007,2010,1-19,OTI,NFL,64,57,4,2,0,31,GrifMi99
258,Todd Gurley,2015,2017,1-10,RAM,NFL,44,43,3,2,1,31,GurlTo01
259,Tamba Hali,2006,2009,1-20,KAN,NFL,63,63,4,0,0,31,HaliTa20
260,A.J. Hawk,2006,2009,1-5,GNB,NFL,64,62,4,0,0,31,HawkA.20
261,Julius Jones,2004,2007,2-43,DAL,NFL,53,51,4,0,0,31,JoneJu01
262,Ryan Kerrigan,2011,2014,1-16,WAS,NFL,64,64,4,1,0,31,KerrRy00
263,Taylor Lewan,2014,2017,1-11,OTI,NFL,58,53,4,2,0,31,LewaTa00
264,Doug Martin,2012,2015,1-31,TAM,NFL,49,49,4,2,1,31,MartDo00
265,Gerald McCoy,2010,2013,1-3,TAM,NFL,51,51,4,2,1,31,McCoGe99
266,Jason Pierre-Paul,2010,2013,1-15,NYG,NFL,59,33,4,2,1,31,PierJa99
267,Mike Pouncey,2011,2014,1-15,MIA,NFL,58,58,4,2,0,31,PounMi00
268,Kerry Rhodes,2005,2008,4-123,NYJ,NFL,64,64,4,0,0,31,RhodKe20
269,Philip Rivers,2004,2007,1-4,SDG,NFL,36,32,4,1,0,31,RivePh00
270,Torrey Smith,2011,2014,2-58,RAV,NFL,64,62,4,0,0,31,SmitTo02
271,Trai Turner,2014,2017,3-92,CAR,NFL,58,54,4,3,0,31,TurnTr01
272,Roy Williams,2004,2007,1-7,DET,NFL,55,52,4,1,0,31,WillRo04
273,Michael Brockers,2012,2015,1-14,RAM,NFL,61,60,4,0,0,30,BrocMi00
274,Malcolm Butler,2014,2017,,NWE,NFL,59,48,4,1,0,30,ButlMa01
275,Anthony Castonzo,2011,2014,1-22,CLT,NFL,60,60,4,0,0,30,CastAn00
276,Jamaal Charles,2008,2011,3-73,KAN,NFL,49,19,4,1,1,30,CharJa00
277,David DeCastro,2012,2015,1-24,PIT,NFL,51,50,4,1,1,30,DeCaDa00
278,Eric Decker,2010,2013,3-87,DEN,NFL,62,44,4,0,0,30,DeckEr00
279,David Diehl,2003,2006,5-160,NYG,NFL,64,64,4,0,0,30,DiehDa21
280,Braylon Edwards,2005,2008,1-3,CLE,NFL,58,54,4,1,0,30,EdwaBr00
281,Jerrell Freeman,2012,2015,,CLT,NFL,57,57,4,0,0,30,FreeJe00
282,Ahman Green,2000,2001,3-76,GNB,NFL,32,27,2,1,0,30,GreeAh00
283,Jordan Gross,2003,2006,1-8,CAR,NFL,64,64,4,0,0,30,GrosJo20
284,Deuce Lutui,2006,2009,2-41,CRD,NFL,62,56,4,0,0,30,LutuDe20
285,Alfred Morris,2012,2015,6-173,WAS,NFL,64,64,4,2,0,30,MorrAl00
286,Kirk Morrison,2005,2008,3-78,RAI,NFL,64,63,4,0,0,30,MorrKi20
287,Terence Newman,2003,2006,1-5,DAL,NFL,64,64,4,0,0,30,NewmTe20
288,Andrew Norwell,2014,2017,,CAR,NFL,55,54,4,0,1,30,NorwAn01
289,Michael Oher,2009,2012,1-23,RAV,NFL,64,64,4,0,0,30,OherMi20
290,Dak Prescott,2016,2017,4-135,DAL,NFL,32,32,2,1,0,30,PresDa01
291,Shaun Rogers,2001,2004,2-61,DET,NFL,62,60,4,1,0,30,RogeSh99
292,Aaron Schobel,2001,2004,2-46,BUF,NFL,64,59,4,0,0,30,SchoAa99
293,Kendall Simmons,2002,2006,1-30,PIT,NFL,60,60,4,0,0,30,SimmKe20
294,Chris Snee,2004,2007,2-34,NYG,NFL,59,59,4,0,0,30,SneeCh20
295,C.J. Spiller,2010,2013,1-9,BUF,NFL,61,31,4,1,0,30,SpilC.00
296,David Stewart,2006,2009,4-113,OTI,NFL,61,61,4,0,0,30,StewDa21
