Year,School,Conf,Class,Pos,G,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Sref_Cfb_ID,Stats_Incl_Bowl_Gm
1996,Alabama,SEC,,RB,11,77,589,7.6,6,7,53,7.6,0,84,642,7.6,6,shaun-alexander-1,0
1997,Alabama,SEC,,RB,9,90,415,4.6,3,4,37,9.3,0,94,452,4.8,3,shaun-alexander-1,0
1998,Alabama,SEC,,RB,11,258,1178,4.6,13,26,385,14.8,4,284,1563,5.5,17,shaun-alexander-1,0
1999,Alabama,SEC,,RB,11,302,1383,4.6,19,25,323,12.9,4,327,1706,5.2,23,shaun-alexander-1,0
1996,Arizona,Pac-10,,WR,11,,,,,,,,,0,0,,0,trung-canidate-1,0
1997,Arizona,Pac-10,,RB,8,138,804,5.8,4,3,24,8.0,0,141,828,5.9,4,trung-canidate-1,0
1998,Arizona,Pac-10,,RB,11,167,1220,7.3,10,9,191,21.2,0,176,1411,8.0,10,trung-canidate-1,0
1999,Arizona,Pac-10,,RB,12,253,1602,6.3,11,30,253,8.4,1,283,1855,6.6,12,trung-canidate-1,0
1997,Marshall,MAC,,RB,13,176,1060,6.0,11,17,108,6.4,1,193,1168,6.1,12,doug-chapman-1,1
1998,Marshall,MAC,,RB,13,278,1265,4.6,17,26,279,10.7,3,304,1544,5.1,20,doug-chapman-1,1
1999,Marshall,MAC,,RB,12,164,686,4.2,12,24,321,13.4,1,188,1007,5.4,13,doug-chapman-1,0
1996,Wisconsin,Big Ten,,RB,13,325,2109,6.5,21,14,133,9.5,0,339,2242,6.6,21,ron-dayne-1,1
1997,Wisconsin,Big Ten,,RB,11,263,1457,5.5,15,10,117,11.7,0,273,1574,5.8,15,ron-dayne-1,1
1998,Wisconsin,Big Ten,,RB,11,295,1525,5.2,15,6,45,7.5,0,301,1570,5.2,15,ron-dayne-1,1
1999,Wisconsin,Big Ten,,RB,12,337,2034,6.0,20,1,9,9.0,0,338,2043,6.0,20,ron-dayne-1,0
1998,Oregon,Pac-10,,RB,5,112,824,7.4,9,3,44,14.7,2,115,868,7.5,11,reuben-droughns-1,1
1999,Oregon,Pac-10,,RB,12,277,1234,4.5,9,17,163,9.6,1,294,1397,4.8,10,reuben-droughns-1,1
1996,South Carolina,SEC,,RB,11,43,281,6.5,5,,,,,43,281,6.5,5,troy-hambrick-1,0
1997,South Carolina,SEC,,RB,11,115,604,5.3,5,18,143,7.9,0,133,747,5.6,5,troy-hambrick-1,0
1998,South Carolina,SEC,,RB,10,144,701,4.9,4,22,166,7.5,0,166,867,5.2,4,troy-hambrick-1,0
1996,Brigham Young,WAC,,RB,14,128,733,5.7,11,14,189,13.5,3,142,922,6.5,14,ronney-jenkins-1,0
1998,Brigham Young,WAC,,RB,13,252,1307,5.2,13,34,349,10.3,2,286,1656,5.8,15,ronney-jenkins-1,0
1996,Virginia,ACC,,RB,11,36,205,5.7,4,4,26,6.5,0,40,231,5.8,4,thomas-jones-1,0
1997,Virginia,ACC,,RB,11,201,692,3.4,4,17,127,7.5,1,218,819,3.8,5,thomas-jones-1,0
1998,Virginia,ACC,,RB,11,238,1303,5.5,13,28,179,6.4,2,266,1482,5.6,15,thomas-jones-1,0
1999,Virginia,ACC,,RB,11,334,1798,5.4,16,22,239,10.9,1,356,2037,5.7,17,thomas-jones-1,0
1995,West Virginia,Big East,,RB,7,28,136,4.9,0,,,,,28,136,4.9,0,curtis-keaton-1,0
1997,West Virginia,Big East,,RB,11,60,268,4.5,3,,,,,60,268,4.5,3,curtis-keaton-1,1
1997,Tennessee,SEC,,RB,12,232,1364,5.9,7,23,266,11.6,2,255,1630,6.4,9,jamal-lewis-2,0
1998,Tennessee,SEC,,RB,5,73,497,6.8,3,1,16,16.0,1,74,513,6.9,4,jamal-lewis-2,0
1999,Tennessee,SEC,,RB,10,182,816,4.5,7,15,193,12.9,1,197,1009,5.1,8,jamal-lewis-2,0
1996,Colorado State,WAC,,RB,12,9,76,8.4,1,,,,,9,76,8.4,1,kevin-mcdougal-2,0
1997,Colorado State,WAC,,RB,12,150,1111,7.4,13,12,100,8.3,1,162,1211,7.5,14,kevin-mcdougal-2,0
1998,Colorado State,WAC,,RB,7,105,547,5.2,4,8,52,6.5,0,113,599,5.3,4,kevin-mcdougal-2,0
1999,Colorado State,MWC,,RB,10,207,1164,5.6,8,8,58,7.3,0,215,1222,5.7,8,kevin-mcdougal-2,0
1996,LSU,SEC,,RB,11,103,603,5.9,10,8,86,10.8,1,111,689,6.2,11,rondell-mealey-1,0
1997,LSU,SEC,,RB,11,112,664,5.9,7,7,60,8.6,0,119,724,6.1,7,rondell-mealey-1,0
1998,LSU,SEC,,RB,11,68,334,4.9,4,2,9,4.5,2,70,343,4.9,6,rondell-mealey-1,0
1999,LSU,SEC,,RB,11,170,637,3.7,8,16,147,9.2,1,186,784,4.2,9,rondell-mealey-1,0
1995,Louisville,Ind,,RB,6,96,416,4.3,2,,,,,96,416,4.3,2,frank-moreau-1,0
1996,Louisville,CUSA,,RB,11,7,14,2.0,0,1,0,0.0,0,8,14,1.8,0,frank-moreau-1,0
1997,Louisville,CUSA,,RB,11,120,573,4.8,5,10,45,4.5,0,130,618,4.8,5,frank-moreau-1,0
1998,Louisville,CUSA,,RB,11,43,307,7.1,3,5,39,7.8,0,48,346,7.2,3,frank-moreau-1,0
1999,Louisville,CUSA,,RB,10,233,1289,5.5,17,38,285,7.5,0,271,1574,5.8,17,frank-moreau-1,0
1996,USC,Pac-10,,RB,12,26,171,6.6,2,2,24,12.0,0,28,195,7.0,2,chad-morton-1,0
1997,USC,Pac-10,,RB,11,30,214,7.1,1,1,17,17.0,0,31,231,7.5,1,chad-morton-1,0
1998,USC,Pac-10,,RB,11,199,985,4.9,6,18,136,7.6,1,217,1121,5.2,7,chad-morton-1,1
1999,USC,Pac-10,,RB,12,262,1141,4.4,15,17,79,4.6,0,279,1220,4.4,15,chad-morton-1,0
1996,Miami (OH),MAC,,RB,11,123,601,4.9,12,1,7,7.0,0,124,608,4.9,12,travis-prentice-1,0
1997,Miami (OH),MAC,,RB,11,296,1549,5.2,25,23,138,6.0,0,319,1687,5.3,25,travis-prentice-1,0
1998,Miami (OH),MAC,,RB,11,365,1787,4.9,19,11,107,9.7,1,376,1894,5.0,20,travis-prentice-1,0
1999,Miami (OH),MAC,,RB,11,354,1659,4.7,17,19,270,14.2,4,373,1929,5.2,21,travis-prentice-1,0
1996,Arizona State,Pac-10,,RB,11,63,301,4.8,2,9,197,21.9,2,72,498,6.9,4,jr-redmond-1,0
1997,Arizona State,Pac-10,,RB,10,142,865,6.1,7,15,186,12.4,1,157,1051,6.7,8,jr-redmond-1,0
1998,Arizona State,Pac-10,,RB,10,166,883,5.3,11,22,194,8.8,0,188,1077,5.7,11,jr-redmond-1,0
1999,Arizona State,Pac-10,,RB,11,241,1174,4.9,12,15,100,6.7,1,256,1274,5.0,13,jr-redmond-1,1
1996,Virginia Tech,Big East,,RB,11,89,474,5.3,5,4,26,6.5,0,93,500,5.4,5,shyrone-stith-1,0
1998,Virginia Tech,Big East,,RB,11,133,699,5.3,3,5,42,8.4,0,138,741,5.4,3,shyrone-stith-1,0
1999,Virginia Tech,Big East,,RB,12,237,1187,5.0,13,4,48,12.0,0,241,1235,5.1,13,shyrone-stith-1,1
1996,Ohio State,Big Ten,,RB,10,23,176,7.7,1,6,194,32.3,3,29,370,12.8,4,michael-wiley-1,1
1997,Ohio State,Big Ten,,RB,13,105,588,5.6,6,9,83,9.2,0,114,671,5.9,6,michael-wiley-1,1
1998,Ohio State,Big Ten,,RB,12,198,1235,6.2,10,27,200,7.4,1,225,1435,6.4,11,michael-wiley-1,1
1999,Ohio State,Big Ten,,RB,12,183,952,5.2,10,14,153,10.9,1,197,1105,5.6,11,michael-wiley-1,0
1997,Kansas State,Big 12,,RB,9,1,12,12.0,0,2,47,23.5,1,3,59,19.7,1,david-allen-1,0
1998,Kansas State,Big 12,,RB,12,31,177,5.7,1,,,,,31,177,5.7,1,david-allen-1,0
1999,Kansas State,Big 12,,RB,10,74,364,4.9,6,4,40,10.0,1,78,404,5.2,7,david-allen-1,0
2000,Kansas State,Big 12,SR,RB,9,62,230,3.7,1,6,55,9.2,0,68,285,4.2,1,david-allen-1,0
1997,Pitt,Big East,,RB,7,27,108,4.0,2,6,140,23.3,1,33,248,7.5,3,kevan-barlow-1,0
1998,Pitt,Big East,,RB,9,121,533,4.4,4,11,140,12.7,1,132,673,5.1,5,kevan-barlow-1,0
1999,Pitt,Big East,,RB,10,141,630,4.5,6,6,94,15.7,1,147,724,4.9,7,kevan-barlow-1,0
2000,Pitt,Big East,SR,RB,11,197,1053,5.3,8,13,134,10.3,1,210,1187,5.7,9,kevan-barlow-1,0
1999,Wisconsin,Big Ten,,RB,12,57,298,5.2,4,1,29,29.0,0,58,327,5.6,4,michael-bennett-1,0
2000,Wisconsin,Big Ten,JR,RB,11,310,1681,5.4,11,4,23,5.8,0,314,1704,5.4,11,michael-bennett-1,0
1997,Nebraska,Big 12,,RB,11,54,311,5.8,6,3,6,2.0,0,57,317,5.6,6,correll-buckhalter-1,0
1998,Nebraska,Big 12,,RB,12,142,799,5.6,8,13,88,6.8,0,155,887,5.7,8,correll-buckhalter-1,0
1999,Nebraska,Big 12,,RB,11,111,662,6.0,6,3,21,7.0,0,114,683,6.0,6,correll-buckhalter-1,0
2000,Nebraska,Big 12,SR,RB,11,106,750,7.1,7,5,85,17.0,1,111,835,7.5,8,correll-buckhalter-1,0
1997,Florida State,ACC,,KR,11,,,,,,,,,0,0,,0,jeff-chaney-1,0
1998,Florida State,ACC,,RB,12,120,573,4.8,5,1,3,3.0,0,121,576,4.8,5,jeff-chaney-1,0
1999,Florida State,ACC,,RB,10,43,157,3.7,2,6,90,15.0,1,49,247,5.0,3,jeff-chaney-1,0
2000,Florida State,ACC,SR,RB,11,71,346,4.9,3,17,196,11.5,1,88,542,6.2,4,jeff-chaney-1,0
1997,Ohio State,Big Ten,,RB,11,25,82,3.3,0,,,,,25,82,3.3,0,derek-combs-1,1
1998,Ohio State,Big Ten,,RB,9,31,88,2.8,1,1,1,1.0,0,32,89,2.8,1,derek-combs-1,1
1999,Ohio State,Big Ten,,RB,9,43,173,4.0,3,1,16,16.0,0,44,189,4.3,3,derek-combs-1,0
2000,Ohio State,Big Ten,SR,RB,11,175,888,5.1,5,9,78,8.7,0,184,966,5.3,5,derek-combs-1,1
1997,Tennessee,SEC,,RB,7,2,4,2.0,0,,,,,2,4,2.0,0,travis-henry-1,0
1998,Tennessee,SEC,,RB,11,176,970,5.5,7,4,31,7.8,0,180,1001,5.6,7,travis-henry-1,0
1999,Tennessee,SEC,,RB,11,125,790,6.3,8,3,3,1.0,0,128,793,6.2,8,travis-henry-1,0
2000,Tennessee,SEC,SR,RB,11,253,1314,5.2,11,13,65,5.0,0,266,1379,5.2,11,travis-henry-1,0
1997,Kentucky,SEC,,RB,11,88,502,5.7,1,31,364,11.7,2,119,866,7.3,3,derek-homer-1,0
1998,Kentucky,SEC,,RB,11,137,716,5.2,7,41,239,5.8,0,178,955,5.4,7,derek-homer-1,0
1999,Kentucky,SEC,,RB,11,94,332,3.5,3,19,108,5.7,0,113,440,3.9,3,derek-homer-1,0
2000,Kentucky,SEC,SR,RB,11,34,139,4.1,0,38,341,9.0,0,72,480,6.7,0,derek-homer-1,0
1996,Miami (FL),Big East,,RB,2,8,22,2.8,0,1,7,7.0,0,9,29,3.2,0,james-jackson-1,1
1997,Miami (FL),Big East,,RB,9,81,595,7.3,6,10,52,5.2,0,91,647,7.1,6,james-jackson-1,0
1998,Miami (FL),Big East,,RB,11,82,545,6.6,5,5,30,6.0,0,87,575,6.6,5,james-jackson-1,0
1999,Miami (FL),Big East,,RB,9,169,782,4.6,9,13,133,10.2,1,182,915,5.0,10,james-jackson-1,0
2000,Miami (FL),Big East,SR,RB,11,201,1006,5.0,11,9,56,6.2,2,210,1062,5.1,13,james-jackson-1,0
2000,Auburn,SEC,JR,RB,12,324,1567,4.8,13,9,70,7.8,0,333,1637,4.9,13,rudi-johnson-1,0
1997,Maryland,ACC,,RB,11,159,689,4.3,3,22,155,7.0,0,181,844,4.7,3,lamont-jordan-1,0
1998,Maryland,ACC,,RB,10,169,906,5.4,6,14,87,6.2,0,183,993,5.4,6,lamont-jordan-1,0
1999,Maryland,ACC,,RB,11,266,1632,6.1,16,19,208,10.9,1,285,1840,6.5,17,lamont-jordan-1,0
2000,Maryland,ACC,SR,RB,11,213,920,4.3,11,21,287,13.7,0,234,1207,5.2,11,lamont-jordan-1,0
1997,Ole Miss,SEC,,RB,11,94,402,4.3,4,7,71,10.1,0,101,473,4.7,4,deuce-mcallister-1,0
1998,Ole Miss,SEC,,RB,11,212,1082,5.1,7,18,154,8.6,0,230,1236,5.4,7,deuce-mcallister-1,0
1999,Ole Miss,SEC,,RB,11,168,930,5.5,13,23,256,11.1,1,191,1186,6.2,14,deuce-mcallister-1,1
2000,Ole Miss,SEC,SR,RB,11,159,767,4.8,14,18,190,10.6,2,177,957,5.4,16,deuce-mcallister-1,0
1997,Florida State,ACC,,RB,11,112,623,5.6,9,27,207,7.7,2,139,830,6.0,11,travis-minor-1,0
1998,Florida State,ACC,,RB,10,191,857,4.5,7,21,189,9.0,1,212,1046,4.9,8,travis-minor-1,0
1999,Florida State,ACC,,RB,11,180,815,4.5,7,16,102,6.4,0,196,917,4.7,7,travis-minor-1,0
2000,Florida State,ACC,SR,RB,12,181,923,5.1,5,42,333,7.9,0,223,1256,5.6,5,travis-minor-1,0
1997,Texas,Big 12,,RB,10,14,92,6.6,1,2,14,7.0,0,16,106,6.6,1,hodges-mitchell-1,0
1998,Texas,Big 12,,RB,11,23,111,4.8,2,,,,,23,111,4.8,2,hodges-mitchell-1,0
1999,Texas,Big 12,,RB,13,256,1343,5.2,9,32,343,10.7,1,288,1686,5.9,10,hodges-mitchell-1,1
2000,Texas,Big 12,SR,RB,11,224,1118,5.0,8,37,386,10.4,3,261,1504,5.8,11,hodges-mitchell-1,0
1997,Michigan,Big Ten,,RB,11,130,529,4.1,5,21,205,9.8,0,151,734,4.9,5,anthony-thomas-2,0
1998,Michigan,Big Ten,,RB,11,146,761,5.2,12,15,140,9.3,0,161,901,5.6,12,anthony-thomas-2,0
1999,Michigan,Big Ten,,RB,11,283,1257,4.4,16,29,166,5.7,0,312,1423,4.6,16,anthony-thomas-2,0
2000,Michigan,Big Ten,SR,RB,11,287,1551,5.4,16,13,239,18.4,1,300,1790,6.0,17,anthony-thomas-2,0
1997,Texas Christian,WAC,,RB,11,126,538,4.3,6,11,109,9.9,0,137,647,4.7,6,ladainian-tomlinson-1,0
1998,Texas Christian,WAC,,RB,11,144,717,5.0,8,6,34,5.7,0,150,751,5.0,8,ladainian-tomlinson-1,0
1999,Texas Christian,WAC,,RB,12,304,1974,6.5,20,16,84,5.3,0,320,2058,6.4,20,ladainian-tomlinson-1,1
2000,Texas Christian,WAC,SR,RB,11,369,2158,5.8,22,10,40,4.0,0,379,2198,5.8,22,ladainian-tomlinson-1,0
1998,Oklahoma State,Big 12,,RB,11,19,71,3.7,2,1,-1,-1.0,0,20,70,3.5,2,reggie-white-1,0
1999,Oklahoma State,Big 12,,RB,11,38,176,4.6,0,,,,,38,176,4.6,0,reggie-white-1,0
2000,Oklahoma State,Big 12,JR,RB,11,210,1049,5.0,4,16,123,7.7,0,226,1172,5.2,4,reggie-white-1,0
1998,Arkansas State,Ind,,RB,10,88,317,3.6,0,3,10,3.3,0,91,327,3.6,0,jonathan-adams-1,0
1999,Arkansas State,Big West,,RB,10,145,680,4.7,6,2,32,16.0,0,147,712,4.8,6,jonathan-adams-1,0
2000,Arkansas State,Big West,JR,RB,11,202,1004,5.0,6,15,126,8.4,1,217,1130,5.2,7,jonathan-adams-1,0
2001,Arkansas State,Sun Belt,SR,RB,11,233,1004,4.3,5,10,103,10.3,0,243,1107,4.6,5,jonathan-adams-1,0
1998,Stanford,Pac-10,,RB,11,76,154,2.0,0,5,19,3.8,0,81,173,2.1,0,brian-allen-2,0
1999,Stanford,Pac-10,,RB,11,115,604,5.3,4,4,39,9.8,0,119,643,5.4,4,brian-allen-2,0
2000,Stanford,Pac-10,JR,RB,11,117,460,3.9,0,10,105,10.5,0,127,565,4.4,0,brian-allen-2,0
2001,Stanford,Pac-10,SR,RB,11,174,899,5.2,9,4,63,15.8,0,178,962,5.4,9,brian-allen-2,0
1998,Northwestern,Big Ten,,RB,12,164,537,3.3,4,10,79,7.9,0,174,616,3.5,4,damien-anderson-1,0
1999,Northwestern,Big Ten,,RB,11,306,1128,3.7,3,16,184,11.5,0,322,1312,4.1,3,damien-anderson-1,0
2000,Northwestern,Big Ten,SR,RB,12,311,2063,6.6,23,19,132,6.9,0,330,2195,6.7,23,damien-anderson-1,1
2001,Northwestern,Big Ten,SR,RB,8,172,757,4.4,8,13,107,8.2,0,185,864,4.7,8,damien-anderson-1,0
1998,Iowa,Big Ten,,RB,11,188,679,3.6,5,20,259,13.0,0,208,938,4.5,5,ladell-betts-1,0
1999,Iowa,Big Ten,,RB,11,189,857,4.5,5,20,195,9.8,1,209,1052,5.0,6,ladell-betts-1,0
2000,Iowa,Big Ten,JR,RB,12,233,1090,4.7,5,17,111,6.5,0,250,1201,4.8,5,ladell-betts-1,0
2001,Iowa,Big Ten,SR,RB,12,222,1060,4.8,10,15,137,9.1,1,237,1197,5.1,11,ladell-betts-1,1
1998,Georgia Tech,ACC,,RB,11,98,474,4.8,5,13,94,7.2,0,111,568,5.1,5,joe-burns-1,0
1999,Georgia Tech,ACC,,RB,10,14,87,6.2,0,7,96,13.7,1,21,183,8.7,1,joe-burns-1,0
2000,Georgia Tech,ACC,SO,RB,11,220,908,4.1,12,26,242,9.3,1,246,1150,4.7,13,joe-burns-1,0
2001,Georgia Tech,ACC,JR,RB,12,282,1165,4.1,14,28,249,8.9,1,310,1414,4.6,15,joe-burns-1,0
2001,Troy,Ind,,RB,11,160,801,5.0,8,24,194,8.1,4,184,995,5.4,12,demontray-carter-2,0
2000,Kansas State,Big 12,,RB,12,46,278,6.0,5,5,78,15.6,0,51,356,7.0,5,rod-cartwright-1,0
2001,Kansas State,Big 12,,RB,11,66,292,4.4,2,15,108,7.2,0,81,400,4.9,2,rod-cartwright-1,0
1998,Nebraska,Big 12,,QB,8,96,459,4.8,5,,,,,96,459,4.8,5,eric-crouch-1,0
1999,Nebraska,Big 12,,QB,12,180,889,4.9,16,2,46,23.0,1,182,935,5.1,17,eric-crouch-1,0
2000,Nebraska,Big 12,JR,QB,11,169,971,5.7,20,,,,,169,971,5.7,20,eric-crouch-1,0
2001,Nebraska,Big 12,SR,QB,12,203,1115,5.5,18,1,63,63.0,1,204,1178,5.8,19,eric-crouch-1,0
1999,Michigan State,Big Ten,,RB,12,118,606,5.1,10,2,32,16.0,0,120,638,5.3,10,tj-duckett-1,1
2000,Michigan State,Big Ten,SO,RB,11,240,1353,5.6,7,8,39,4.9,0,248,1392,5.6,7,tj-duckett-1,0
2001,Michigan State,Big Ten,JR,RB,12,263,1420,5.4,12,12,80,6.7,1,275,1500,5.5,13,tj-duckett-1,1
1998,Notre Dame,Ind,,RB,11,18,75,4.2,0,,,,,18,75,4.2,0,tony-fisher-1,1
1999,Notre Dame,Ind,,RB,12,156,783,5.0,5,18,296,16.4,2,174,1079,6.2,7,tony-fisher-1,0
2000,Notre Dame,Ind,JR,RB,11,132,607,4.6,6,12,106,8.8,3,144,713,5.0,9,tony-fisher-1,0
2001,Notre Dame,Ind,SR,RB,9,78,384,4.9,4,3,-4,-1.3,0,81,380,4.7,4,tony-fisher-1,0
1998,Michigan State,Big Ten,,RB,11,8,69,8.6,0,,,,,8,69,8.6,0,little-john-flowers-1,0
1999,Michigan State,Big Ten,,RB,12,25,135,5.4,0,12,43,3.6,0,37,178,4.8,0,little-john-flowers-1,1
2000,Michigan State,Big Ten,JR,RB,10,54,281,5.2,2,13,93,7.2,0,67,374,5.6,2,little-john-flowers-1,0
2001,Michigan State,Big Ten,SR,RB,11,64,285,4.5,1,25,299,12.0,2,89,584,6.6,3,little-john-flowers-1,1
1999,Arizona State,Pac-10,,RB,12,80,512,6.4,5,6,105,17.5,1,86,617,7.2,6,delvon-flowers-1,1
2001,Arizona State,Pac-10,SR,RB,11,188,1041,5.5,11,4,10,2.5,0,192,1051,5.5,11,delvon-flowers-1,0
1998,UCLA,Pac-10,,RB,12,126,673,5.3,10,16,163,10.2,2,142,836,5.9,12,deshaun-foster-1,1
1999,UCLA,Pac-10,,RB,9,111,375,3.4,6,17,114,6.7,0,128,489,3.8,6,deshaun-foster-1,0
2000,UCLA,Pac-10,JR,RB,10,243,930,3.8,11,16,142,8.9,1,259,1072,4.1,12,deshaun-foster-1,0
2001,UCLA,Pac-10,SR,RB,8,216,1109,5.1,12,9,129,14.3,1,225,1238,5.5,13,deshaun-foster-1,0
1999,Boston College,Big East,,RB,10,49,251,5.1,4,2,5,2.5,0,51,256,5.0,4,william-green-1,0
2000,Boston College,Big East,SO,RB,11,187,1164,6.2,14,6,78,13.0,1,193,1242,6.4,15,william-green-1,0
2001,Boston College,Big East,JR,RB,10,265,1559,5.9,15,23,260,11.3,2,288,1819,6.3,17,william-green-1,0
1998,Iowa State,Big 12,,RB,10,30,178,5.9,2,5,23,4.6,0,35,201,5.7,2,ennis-haywood-1,0
1999,Iowa State,Big 12,,RB,11,55,278,5.1,3,10,176,17.6,0,65,454,7.0,3,ennis-haywood-1,0
2000,Iowa State,Big 12,JR,RB,10,229,1237,5.4,8,25,211,8.4,0,254,1448,5.7,8,ennis-haywood-1,0
2001,Iowa State,Big 12,SR,RB,11,258,1169,4.5,14,20,138,6.9,0,278,1307,4.7,14,ennis-haywood-1,0
1998,East Carolina,CUSA,,RB,10,125,634,5.1,4,2,18,9.0,0,127,652,5.1,4,leonard-henry-1,0
1999,East Carolina,CUSA,,RB,11,77,312,4.1,1,8,64,8.0,0,85,376,4.4,1,leonard-henry-1,0
2000,East Carolina,CUSA,JR,RB,11,133,711,5.3,8,18,137,7.6,1,151,848,5.6,9,leonard-henry-1,0
2001,East Carolina,CUSA,SR,RB,11,184,1432,7.8,16,26,210,8.1,2,210,1642,7.8,18,leonard-henry-1,0
2000,Utah,MWC,JR,RB,10,89,339,3.8,1,1,-4,-4.0,0,90,335,3.7,1,dameon-hunter-1,0
2001,Utah,MWC,SR,RB,11,257,1396,5.4,9,6,70,11.7,0,263,1466,5.6,9,dameon-hunter-1,0
1998,Penn State,Big Ten,,RB,11,127,822,6.5,3,6,35,5.8,1,133,857,6.4,4,eric-mccoo-1,0
1999,Penn State,Big Ten,,RB,12,148,739,5.0,4,22,249,11.3,1,170,988,5.8,5,eric-mccoo-1,0
2000,Penn State,Big Ten,JR,RB,12,140,692,4.9,5,26,288,11.1,4,166,980,5.9,9,eric-mccoo-1,0
2001,Penn State,Big Ten,SR,RB,11,82,265,3.2,6,16,154,9.6,3,98,419,4.3,9,eric-mccoo-1,0
1998,Mississippi State,SEC,,RB,12,55,290,5.3,1,1,28,28.0,1,56,318,5.7,2,dicenzo-miller-1,0
1999,Mississippi State,SEC,,RB,9,56,238,4.3,2,5,23,4.6,1,61,261,4.3,3,dicenzo-miller-1,0
2000,Mississippi State,SEC,JR,RB,11,161,996,6.2,10,24,344,14.3,2,185,1340,7.2,12,dicenzo-miller-1,0
2001,Mississippi State,SEC,SR,RB,9,132,676,5.1,4,19,337,17.7,3,151,1013,6.7,7,dicenzo-miller-1,0
2000,Washington State,Pac-10,,RB,11,165,754,4.6,4,9,55,6.1,0,174,809,4.6,4,dave-minnich-1,0
2001,Washington State,Pac-10,SR,RB,9,192,815,4.2,6,18,169,9.4,2,210,984,4.7,8,dave-minnich-1,1
2000,Oregon,Pac-10,JR,RB,12,286,1188,4.2,8,23,208,9.0,2,309,1396,4.5,10,maurice-morris-1,1
2001,Oregon,Pac-10,SR,RB,11,180,1049,5.8,9,12,99,8.3,1,192,1148,6.0,10,maurice-morris-1,1
1998,San Diego State,WAC,,RB,9,153,762,5.0,4,4,21,5.3,0,157,783,5.0,4,larry-ned-1,0
1999,San Diego State,MWC,,RB,11,162,894,5.5,11,13,161,12.4,0,175,1055,6.0,11,larry-ned-1,0
2000,San Diego State,MWC,SR,RB,6,139,357,2.6,6,6,23,3.8,0,145,380,2.6,6,larry-ned-1,0
2001,San Diego State,MWC,SR,RB,11,311,1549,5.0,15,16,138,8.6,0,327,1687,5.2,15,larry-ned-1,0
1999,Miami (FL),Big East,,RB,10,143,838,5.9,8,4,44,11.0,2,147,882,6.0,10,clinton-portis-1,0
2000,Miami (FL),Big East,SO,RB,8,77,485,6.3,2,5,103,20.6,0,82,588,7.2,2,clinton-portis-1,0
2001,Miami (FL),Big East,JR,RB,11,220,1200,5.5,10,12,125,10.4,1,232,1325,5.7,11,clinton-portis-1,0
1999,Minnesota,Big Ten,,RB,11,8,22,2.8,1,,,,,8,22,2.8,1,tellis-redmon-1,1
2000,Minnesota,Big Ten,SO,RB,11,251,1122,4.5,6,29,318,11.0,2,280,1440,5.1,8,tellis-redmon-1,0
2001,Minnesota,Big Ten,JR,RB,11,185,1091,5.9,6,15,83,5.5,0,200,1174,5.9,6,tellis-redmon-1,0
2000,Kansas State,Big 12,JR,RB,13,169,718,4.2,16,4,29,7.3,0,173,747,4.3,16,josh-scobey-1,0
2001,Kansas State,Big 12,SR,RB,11,240,1263,5.3,15,9,52,5.8,0,249,1315,5.3,15,josh-scobey-1,0
1999,Brigham Young,MWC,,RB,8,92,432,4.7,10,26,339,13.0,3,118,771,6.5,13,luke-staley-1,0
2000,Brigham Young,MWC,SO,RB,11,130,479,3.7,7,28,327,11.7,0,158,806,5.1,7,luke-staley-1,0
2001,Brigham Young,MWC,JR,RB,11,196,1596,8.1,24,32,334,10.4,4,228,1930,8.5,28,luke-staley-1,0
1997,Tennessee,SEC,,RB,7,9,36,4.0,0,,,,,9,36,4.0,0,travis-stephens-1,0
1998,Tennessee,SEC,,RB,12,107,477,4.5,4,2,3,1.5,0,109,480,4.4,4,travis-stephens-1,0
2000,Tennessee,SEC,JR,RB,11,81,359,4.4,7,6,28,4.7,0,87,387,4.4,7,travis-stephens-1,0
2001,Tennessee,SEC,SR,RB,12,291,1464,5.0,10,19,169,8.9,1,310,1633,5.3,11,travis-stephens-1,0
1998,Toledo,MAC,,RB,10,103,570,5.5,5,10,136,13.6,1,113,706,6.2,6,chester-taylor-1,0
1999,Toledo,MAC,,RB,11,182,1176,6.5,12,8,47,5.9,0,190,1223,6.4,12,chester-taylor-1,0
2000,Toledo,MAC,SR,RB,11,250,1470,5.9,18,17,129,7.6,1,267,1599,6.0,19,chester-taylor-1,0
2001,Toledo,MAC,JR,RB,11,268,1430,5.3,20,26,242,9.3,3,294,1672,5.7,23,chester-taylor-1,0
1998,Vanderbilt,SEC,,RB,10,66,286,4.3,1,4,24,6.0,0,70,310,4.4,1,lew-thomas-1,0
1999,Vanderbilt,SEC,,RB,7,19,66,3.5,0,9,115,12.8,0,28,181,6.5,0,lew-thomas-1,0
2000,Vanderbilt,SEC,JR,RB,7,4,11,2.8,0,5,40,8.0,0,9,51,5.7,0,lew-thomas-1,0
2001,Vanderbilt,SEC,SR,RB,7,105,675,6.4,5,10,80,8.0,0,115,755,6.6,5,lew-thomas-1,0
1998,Ohio State,Big Ten,,RB,12,41,197,4.8,2,1,11,11.0,0,42,208,5.0,2,jonathan-wells-1,1
1999,Ohio State,Big Ten,,RB,12,51,292,5.7,3,5,17,3.4,0,56,309,5.5,3,jonathan-wells-1,0
