Year,School,Conf,Class,Pos,G,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Sref_Cfb_ID,Stats_Incl_Bowl_Gm
2016,Northwestern,Big Ten,JR,RB,13,298,1524,5.1,15,35,219,6.3,0,333,1743,5.2,15,justin-jackson-5,1
2017,Northwestern,Big Ten,SR,RB,13,287,1311,4.6,11,44,276,6.3,0,331,1587,4.8,11,justin-jackson-5,1
2015,Auburn,SEC,FR,RB,12,52,208,4.0,3,14,159,11.4,0,66,367,5.6,3,kerryon-johnson-1,1
2016,Auburn,SEC,SO,RB,12,182,895,4.9,11,17,125,7.4,0,199,1020,5.1,11,kerryon-johnson-1,1
2017,Auburn,SEC,JR,RB,12,285,1391,4.9,18,24,194,8.1,2,309,1585,5.1,20,kerryon-johnson-1,1
2015,USC,Pac-12,FR,RB,14,153,987,6.5,8,7,39,5.6,1,160,1026,6.4,9,ronald-jones-4,1
2016,USC,Pac-12,SO,RB,13,177,1082,6.1,12,11,76,6.9,1,188,1158,6.2,13,ronald-jones-4,1
2017,USC,Pac-12,JR,RB,13,261,1550,5.9,19,14,187,13.4,1,275,1737,6.3,20,ronald-jones-4,1
2015,Tennessee,SEC,FR,RB,7,40,165,4.1,1,0,0,,0,40,165,4.1,1,john-kelly-6,1
2016,Tennessee,SEC,SO,RB,11,98,630,6.4,5,6,51,8.5,0,104,681,6.5,5,john-kelly-6,1
2017,Tennessee,SEC,JR,RB,11,189,778,4.1,9,37,299,8.1,0,226,1077,4.8,9,john-kelly-6,0
2014,Georgia,SEC,FR,RB,8,64,410,6.4,5,7,106,15.1,1,71,516,7.3,6,sony-michel-1,1
2015,Georgia,SEC,SO,RB,13,218,1136,5.2,8,26,270,10.4,3,244,1406,5.8,11,sony-michel-1,1
2016,Georgia,SEC,JR,RB,12,152,840,5.5,4,22,149,6.8,1,174,989,5.7,5,sony-michel-1,1
2017,Georgia,SEC,SR,RB,14,156,1227,7.9,16,9,96,10.7,1,165,1323,8.0,17,sony-michel-1,1
2015,Oregon State,Pac-12,FR,TE,9,73,455,6.2,3,7,109,15.6,0,80,564,7.1,3,ryan-nail-1,0
2016,Oregon State,Pac-12,SO,RB,10,147,951,6.5,13,22,214,9.7,2,169,1165,6.9,15,ryan-nail-1,0
2017,Oregon State,Pac-12,JR,RB,11,165,810,4.9,8,27,240,8.9,2,192,1050,5.5,10,ryan-nail-1,0
2014,San Diego State,MWC,FR,RB,10,2,22,11.0,0,0,0,,0,2,22,11.0,0,rashaad-penny-1,1
2015,San Diego State,MWC,SO,RB,14,61,368,6.0,4,8,120,15.0,1,69,488,7.1,5,rashaad-penny-1,1
2016,San Diego State,MWC,JR,RB,14,136,1018,7.5,11,15,224,14.9,3,151,1242,8.2,14,rashaad-penny-1,1
2017,San Diego State,MWC,SR,RB,13,289,2248,7.8,23,19,135,7.1,2,308,2383,7.7,25,rashaad-penny-1,1
2015,Auburn,SEC,FR,FB,2,0,0,,0,1,12,12.0,0,1,12,12.0,0,kamryn-pettway-1,1
2016,Auburn,SEC,SO,RB,9,209,1224,5.9,7,2,14,7.0,0,211,1238,5.9,7,kamryn-pettway-1,1
2017,Auburn,SEC,JR,RB,5,76,305,4.0,6,3,32,10.7,0,79,337,4.3,6,kamryn-pettway-1,1
2015,Alabama,SEC,FR,RB,4,18,104,5.8,1,0,0,,0,18,104,5.8,1,bo-scarbrough-1,1
2016,Alabama,SEC,SO,RB,13,125,812,6.5,11,4,22,5.5,0,129,834,6.5,11,bo-scarbrough-1,1
2017,Alabama,SEC,JR,RB,14,124,596,4.8,8,17,109,6.4,0,141,705,5.0,8,bo-scarbrough-1,1
2014,Iowa,Big Ten,SO,RB,5,33,186,5.6,1,1,-1,-1.0,0,34,185,5.4,1,akrum-wadley-1,1
2015,Iowa,Big Ten,SO,RB,8,83,496,6.0,7,6,94,15.7,1,89,590,6.6,8,akrum-wadley-1,1
2016,Iowa,Big Ten,JR,RB,13,168,1081,6.4,10,36,315,8.8,3,204,1396,6.8,13,akrum-wadley-1,1
2017,Iowa,Big Ten,SR,RB,13,252,1109,4.4,10,28,353,12.6,3,280,1462,5.2,13,akrum-wadley-1,1
2015,Miami (FL),ACC,FR,RB,13,130,461,3.5,9,22,293,13.3,1,152,754,5.0,10,mark-walton-1,1
2016,Miami (FL),ACC,SO,RB,13,209,1117,5.3,14,27,240,8.9,1,236,1357,5.8,15,mark-walton-1,1
2017,Miami (FL),ACC,JR,RB,5,56,428,7.6,3,7,91,13.0,0,63,519,8.2,3,mark-walton-1,1
2014,Ole Miss,SEC,FR,RB,13,52,361,6.9,1,1,6,6.0,0,53,367,6.9,1,jordan-wilkins-1,1
2015,Ole Miss,SEC,SO,RB,13,72,379,5.3,4,5,75,15.0,0,77,454,5.9,4,jordan-wilkins-1,1
2017,Ole Miss,SEC,SR,RB,12,155,1011,6.5,9,26,241,9.3,1,181,1252,6.9,10,jordan-wilkins-1,0
2014,LSU,SEC,FR,RB,11,64,302,4.7,3,6,63,10.5,0,70,365,5.2,3,darrel-williams-1,1
2015,LSU,SEC,SO,RB,11,60,296,4.9,4,4,31,7.8,0,64,327,5.1,4,darrel-williams-1,1
2016,LSU,SEC,JR,RB,9,52,233,4.5,3,5,37,7.4,0,57,270,4.7,3,darrel-williams-1,1
2017,LSU,SEC,SR,RB,13,145,820,5.7,9,23,331,14.4,0,168,1151,6.9,9,darrel-williams-1,1
